"","JDate","Year","X","unitbox","RFID","Seconds","Nest","FemaleRFID","MaleRFID","focal","HatchDate","Offset","UniqueRecord","FullTime","Hours","HoursSq","Sex","JDateSq","treatment","Illumination","Location","HD","HD_Jdate","HDJ","FD","Sc.Seconds","Sc.Year","Sc.DOY","Sky.Cov.x","cloud","Sky.Cov.y","moonrise_c","moonset_c","merid_c","sunset_c","sunrise_c","nightlength","moonlength","rise_set_later","brightnight"
"55",150,2015,52,"2126","0418945C34",20961,"126","0418942DBA","0418945C34","Yes","5/24/15",6,"0418945C34_150_20961",12980961,5.8225,33.90150625,"M",22500,"High",93.1,"Ithaca","2015-05-24",144,144,164,0.384595095942752,15,-1.69801184910734,1,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"56",150,2015,53,"2126","0418945C34",20961,"126","0418942DBA","0418945C34","Yes","5/24/15",6,"0418945C34_150_20961",12980961,5.8225,33.90150625,"M",22500,"High",93.1,"Ithaca","2015-05-24",144,144,164,0.384595095942752,15,-1.69801184910734,0.8,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"57",150,2015,50,"214","0418946B5D",20880,"14","04186EC42E","0418946B5D","Yes","5/28/15",2,"0418946B5D_150_20880",12980880,5.8,33.64,"M",22500,"High",93.1,"Ithaca","2015-05-28",148,148,168,0.33661602411829,15,-1.69801184910734,0.8,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"58",150,2015,63,"264","04186EB8C8",20810,"64","0418944690","04186EB8C8","Yes","5/24/15",6,"04186EB8C8_150_20810",12980810,5.78055555555556,33.4148225308642,"M",22500,"Low",93.1,"Ithaca","2015-05-24",144,144,164,0.295152628714433,15,-1.69801184910734,0,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"59",150,2015,46,"238","041868F39C",19801,"38","0417939A3D","041868F39C","Yes","5/28/15",2,"041868F39C_150_19801",12979801,5.50027777777778,30.253055632716,"M",22500,"Control",93.1,"Ithaca","2015-05-28",148,148,168,-0.302512599321159,15,-1.69801184910734,1,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"60",150,2015,65,"264","04186EB8C8",20810,"64","0418944690","04186EB8C8","Yes","5/24/15",6,"04186EB8C8_150_20810",12980810,5.78055555555556,33.4148225308642,"M",22500,"Low",93.1,"Ithaca","2015-05-24",144,144,164,0.295152628714433,15,-1.69801184910734,0.8,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"61",150,2015,67,"285","041868BD7F",21111,"85","0418945F71","041868BD7F","Yes","5/29/15",1,"041868BD7F_150_21111",12981111,5.86416666666667,34.3884506944444,"M",22500,"Low",93.1,"Ithaca","2015-05-29",149,149,169,0.473445228951017,15,-1.69801184910734,1,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"62",150,2015,64,"264","04186EB8C8",20810,"64","0418944690","04186EB8C8","Yes","5/24/15",6,"04186EB8C8_150_20810",12980810,5.78055555555556,33.4148225308642,"M",22500,"Low",93.1,"Ithaca","2015-05-24",144,144,164,0.295152628714433,15,-1.69801184910734,1,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"63",150,2015,62,"277","041868D041",20289,"77","04186EB240","041868D041","Yes","5/27/15",3,"041868D041_150_20289",12980289,5.63583333333333,31.7626173611111,"M",22500,"DMSO",93.1,"Ithaca","2015-05-27",147,147,167,-0.0134534999342719,15,-1.69801184910734,0.8,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"64",150,2015,66,"285","041868BD7F",21111,"85","0418945F71","041868BD7F","Yes","5/29/15",1,"041868BD7F_150_21111",12981111,5.86416666666667,34.3884506944444,"M",22500,"Low",93.1,"Ithaca","2015-05-29",149,149,169,0.473445228951017,15,-1.69801184910734,0,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"65",150,2016,99,"277","041868D041",20131,"77","04186ED2D1","041868D041","Yes","5/25/16",2,"041868D041_150_20131",12980131,5.59194444444444,31.2698426697531,"M",22500,"Short Cort",39,"Ithaca","2016-05-25",146,146,166,-0.107042306702977,16,-1.69801184910734,0.8,0.455555555555556,0.455555555555556,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"66",150,2016,84,"2103","0418941B5C",21280,"103","041868E6D5","0418941B5C","Yes","5/27/16",-2,"0418941B5C_150_21280",12981280,5.91111111111111,34.9412345679012,"M",22500,"DMSO",39,"Ithaca","2016-05-27",148,148,168,0.573549712140328,16,-1.69801184910734,1,0.455555555555556,0.455555555555556,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"67",150,2016,98,"277","041868D041",20131,"77","04186ED2D1","041868D041","Yes","5/25/16",2,"041868D041_150_20131",12980131,5.59194444444444,31.2698426697531,"M",22500,"Short Cort",39,"Ithaca","2016-05-25",146,146,166,-0.107042306702977,16,-1.69801184910734,0.5,0.455555555555556,0.455555555555556,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"68",150,2016,100,"277","041868D041",20131,"77","04186ED2D1","041868D041","Yes","5/25/16",2,"041868D041_150_20131",12980131,5.59194444444444,31.2698426697531,"M",22500,"Short Cort",39,"Ithaca","2016-05-25",146,146,166,-0.107042306702977,16,-1.69801184910734,1,0.455555555555556,0.455555555555556,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"69",150,2016,83,"2103","0418941B5C",21280,"103","041868E6D5","0418941B5C","Yes","5/27/16",-2,"0418941B5C_150_21280",12981280,5.91111111111111,34.9412345679012,"M",22500,"DMSO",39,"Ithaca","2016-05-27",148,148,168,0.573549712140328,16,-1.69801184910734,0.8,0.455555555555556,0.455555555555556,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"70",150,2016,71,"2118","04186ED791",21323,"118","0419179244","04186ED791","Yes","5/24/16",4,"04186ED791_150_21323",12981323,5.92305555555556,35.0825871141975,"M",22500,"Low Tape",39,"Ithaca","2016-05-24",145,145,165,0.599020083602697,16,-1.69801184910734,0.8,0.455555555555556,0.455555555555556,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
"71",150,2016,82,"2103","0418941B5C",21280,"103","041868E6D5","0418941B5C","Yes","5/27/16",-2,"0418941B5C_150_21280",12981280,5.91111111111111,34.9412345679012,"M",22500,"DMSO",39,"Ithaca","2016-05-27",148,148,168,0.573549712140328,16,-1.69801184910734,0.5,0.455555555555556,0.455555555555556,12965640,12916380,12896520,12947580,12979920,32340,-49260,"rise",14280
