"","X","Illumination","JDate","starttime","endtime","site","NestNumber","Year","nest","Sunrise","Sunset","Illumination.sc","dayofyear.sc","starttime.sc","endtime.sc","starttime.sq","starttime.sqrt","starttime.log","starttime.sqrtsc","Sunrisetime.sc","Sunsettime.sc","FullTime","sunrise_c","sunset_c","moonrise_c","moonset_c","merid_c","nightlength","moonlength","rise_set_later","brightnight"
"259",389,94.5,147,19544,85000,"AK","AK17",2007,17,18661,1676,0.933734002211742,-0.525673205790898,-0.169204057852299,1.74873280418798,381967936,139.79985693841,9.88042361293758,-0.141698463906414,-0.319250204681082,-1.08579094485686,12720344,12719461,12702476,12673860,12712380,12693240,16985,38520,"set",9904
"260",390,98.2,148,18196,85242,"AK","AK17",2007,17,18711,1652,1.0526498174478,-0.433401393349598,-0.695185814492244,1.80807921043331,331094416,134.892549831338,9.80895706868989,-0.692726231954614,-0.295001363510283,-1.08644243896772,12805396,12805911,12788852,12765360,12800160,12782040,17059,34800,"set",11308
"261",391,99,149,15042,81838,"AK","AK17",2007,17,18766,1621,1.0783613450664,-0.341129580908298,-1.92585826289164,0.973305793660119,226261764,122.645831563898,9.61860156738635,-2.06787591906042,-0.268327638222405,-1.08728395219424,12888642,12892366,12875221,12857100,12888120,12870960,17145,31020,"set",12899
"262",392,99.8,150,23172,82115,"AK","AK17",2007,17,18827,1584,1.10407287268501,-0.248857768466998,1.24642043257034,1.0412353578335,536941584,152.223519864704,10.0506999322165,1.25331984326104,-0.23874405199403,-1.08828833894849,12983172,12978827,12961584,12949140,12976380,12960120,17243,27240,"set",14796
"263",393,99.1,151,16597,81268,"AK","AK17",2007,17,18893,1542,1.08157528601873,-0.156585956025698,-1.31910631068458,0.833522935974832,275460409,128.829344483312,9.71697723512072,-1.3735465754227,-0.206735581648576,-1.08942845364249,13062997,13065293,13047942,13041540,13013520,13047900,17351,-28020,"rise",17351
"264",394,96.1,152,17004,80983,"AK","AK17",2007,17,18965,1493,0.985157057448954,-0.0643141435843981,-1.16029727882074,0.763631507132188,289136016,130.399386501624,9.74120388947868,-1.19725095539814,-0.171817250362626,-1.09075858745216,13149804,13151765,13134293,13134120,13143480,13138920,17472,9360,"set",9187
"265",395,90.7,153,16200,78477,"AK","AK17",2007,17,19041,1439,0.811604246023362,0.027957668856902,-1.47401340073359,0.149077399484241,262440000,127.279220613579,9.69276652122048,-1.54760564234083,-0.134959011783013,-1.0922244492016,13235400,13238241,13220639,13225380,13231800,13228560,17602,6420,"set",12861
"266",396,83.1,154,19777,75876,"AK","AK17",2007,17,19123,1379,0.567344733646601,0.120229481298202,-0.078288813566611,-0.488773851111253,391129729,140.630722105804,9.89227492532203,-0.0484029417903534,-0.095190912262903,-1.09385318447875,13325377,13324723,13306979,13313460,13323420,13318320,17744,9960,"set",11263
"267",397,73.7,155,25626,70710,"AK","AK17",2007,17,19209,1314,0.265234284127977,0.212501293739502,2.20395695393119,-1.75564796129054,656691876,160.081229380587,10.1513627400695,2.13564003273271,-0.0534829054491295,-1.09561764769566,13417626,13411209,13393314,13400160,13416300,13407960,17895,16140,"set",11049
"268",398,10.2,137,18559,81207,"AK","AK19",2007,19,18499,1580,-1.7756182205989,-1.4483913302039,-0.553545326613683,0.818563717871669,344436481,136.231420751602,9.8287101255783,-0.542388166942453,-0.397816450074469,-1.0883969213003,11855359,11855299,11838380,11850840,11836200,11798700,16919,-14640,"rise",4459
"269",399,17.7,138,19380,81268,"AK","AK19",2007,19,18487,1617,-1.53457264917447,-1.3561195177626,-0.233195903615616,0.833522935974832,375584400,139.212068442359,9.87199688544476,-0.207699587536296,-0.403636171955461,-1.08739253454605,11942580,11941687,11924817,11938200,11929740,11888940,16870,-8460,"rise",3487
"270",400,26.5,139,22671,81233,"AK","AK19",2007,19,18482,1649,-1.2517458453698,-1.2638477053213,1.05093314764704,0.824939778046788,513974241,150.568921095955,10.0288418536888,1.06752958260157,-0.40606105607254,-1.08652387573157,12032271,12028082,12011249,12028620,12020100,11979180,16833,-8520,"rise",0
"271",401,36,140,17772,82132,"AK","AK19",2007,19,18483,1674,-0.946421454898846,-1.17157589288,-0.860628147441307,1.04540432025569,315843984,133.311664905964,9.7853794640558,-0.870239371638597,-0.405576079249124,-1.08584523603276,12113772,12114483,12097674,12028620,12107400,12069300,16809,78780,"set",9726
"272",402,45.8,141,16952,81095,"AK","AK19",2007,19,18490,1694,-0.631455241570919,-1.0793040804387,-1.18058737625789,0.791097612501929,287370304,130.199846390078,9.73814109994814,-1.21965675554519,-0.402181241485213,-1.08530232427371,12199352,12200890,12184094,12129960,12193920,12159180,16796,63960,"set",9826
"273",403,55.6,142,19103,82996,"AK","AK19",2007,19,18503,1706,-0.316489028242991,-0.987032267997398,-0.341279691886584,1.25728570453654,364924609,138.213602803776,9.85760066976365,-0.319814497057266,-0.395876542780805,-1.08497657721828,12287903,12287303,12270506,12220500,12280320,12248700,16797,59820,"set",9814
"274",404,65.1,143,21600,84136,"AK","AK19",2007,19,18522,1713,-0.011164637772041,-0.894760455556098,0.633035179278063,1.53685141990712,466560000,146.969384566991,9.98044859367226,0.66334770926725,-0.386661983135901,-1.08478655810262,12376800,12373722,12356913,12310860,12366600,12337920,16809,55740,"set",9687
"275",405,74.1,144,23959,83756,"AK","AK19",2007,19,18548,1713,0.27809004793728,-0.802488643114798,1.55350325339797,1.44366284811693,574033681,154.78695035435,10.0840993151314,1.54116027191904,-0.374052585727086,-1.08478655810262,12465559,12460148,12443313,12400980,12452820,12426900,16835,51840,"set",9507
"276",406,82.1,145,22602,82305,"AK","AK19",2007,19,18580,1707,0.535205324123344,-0.710216830673498,1.02400974912467,1.08782964372859,510850404,150.339615537622,10.0257936769201,1.04178150381772,-0.358533327377775,-1.08494943163033,12550602,12546580,12529707,12490980,12539100,12515760,16873,48120,"set",9393
"277",407,89,146,22395,81596,"AK","AK19",2007,19,18617,1695,0.756967249833823,-0.617945018232198,0.943239553557556,0.913959387414786,501536025,149.649590711101,10.0165929986414,0.964300549037485,-0.340589184911384,-1.08527517868576,12636795,12633017,12616095,12582420,12625320,12604500,16922,42900,"set",9225
"278",408,94.5,147,20676,82236,"AK","AK19",2007,19,18661,1676,0.933734002211742,-0.525673205790898,0.272495755587181,1.07090856095616,427496976,143.79151574415,9.93672888631593,0.30651372142156,-0.319250204681082,-1.08579094485686,12721476,12719461,12702476,12673860,12712380,12693240,16985,38520,"set",9904
"279",409,98.2,148,18153,81726,"AK","AK19",2007,19,18711,1652,1.0526498174478,-0.433401393349598,-0.711964164296041,0.945839688290378,329531409,134.733069437314,9.80659111529043,-0.71063383864179,-0.295001363510283,-1.08644243896772,12805353,12805911,12788852,12765360,12800160,12782040,17059,34800,"set",11308
"280",410,99,149,17565,80101,"AK","AK19",2007,19,18766,1621,1.0783613450664,-0.341129580908298,-0.941398343008421,0.547335927345481,308529225,132.533014754815,9.77366356469993,-0.957671815852172,-0.268327638222405,-1.08728395219424,12891165,12892366,12875221,12857100,12888120,12870960,17145,31020,"set",12899
"281",411,99.8,150,22870,76645,"AK","AK19",2007,19,18827,1584,1.10407287268501,-0.248857768466998,1.12858178976228,-0.300189609777945,523036900,151.22830422907,10.0375812870168,1.14156986746675,-0.23874405199403,-1.08828833894849,12982870,12978827,12961584,12949140,12976380,12960120,17243,27240,"set",14796
"282",412,99.1,151,23976,81147,"AK","AK19",2007,19,18893,1542,1.08157528601873,-0.156585956025698,1.56013655448319,0.803849732852165,574848576,154.841854806767,10.0848086089965,1.54732533907529,-0.206735581648576,-1.08942845364249,13070376,13065293,13047942,13041540,13064940,13047900,17351,23400,"set",16998
"283",413,96.1,152,23380,80387,"AK","AK19",2007,19,18965,1493,0.985157057448954,-0.0643141435843981,1.32758082231894,0.617472589271783,546624400,152.905199388379,10.0596362350261,1.32986372736265,-0.171817250362626,-1.09075858745216,13156180,13151765,13134293,13134120,13153980,13138920,17472,19860,"set",19687
"284",414,90.7,153,19345,73872,"AK","AK19",2007,19,19041,1439,0.811604246023362,0.027957668856902,-0.246852699967543,-0.980220950762684,374229025,139.086304142428,9.87018926713461,-0.221821308467747,-0.134959011783013,-1.0922244492016,13238545,13238241,13220639,13225380,13231800,13228560,17602,6420,"set",12861
"285",415,83.1,154,22170,66917,"AK","AK19",2007,19,19123,1379,0.567344733646601,0.120229481298202,0.855445862723737,-2.68581704760685,491508900,148.895936814945,10.0064953026104,0.879674864274196,-0.095190912262903,-1.09385318447875,13327770,13324723,13306979,13313460,13323420,13318320,17744,9960,"set",11263
"286",416,73.7,155,30681,69492,"AK","AK19",2007,19,19209,1314,0.265234284127977,0.212501293739502,4.17638854133099,-2.05434185718647,941323761,175.15992692394,10.3313988494741,3.82878473941172,-0.0534829054491295,-1.09561764769566,13422681,13411209,13393314,13400160,13416300,13407960,17895,16140,"set",11049
"287",417,10.2,137,17315,81069,"AK","AK21",2007,21,18499,1580,-1.7756182205989,-1.4483913302039,-1.03894688837933,0.78472155232681,299809225,131.58647346897,9.75932845683652,-1.06395628526164,-0.397816450074469,-1.0883969213003,11854115,11855299,11838380,11850840,11836200,11798700,16919,-14640,"rise",4459
