"","JDate","Year","unitbox","RFID","X","Dayyearbird","totalTime","Nest","FemaleRFID","MaleRFID","focal","HatchDate","Offset","Sex","JDateSq","treatment","Illumination","Location","HD","HD_Jdate","HDJ","FD","Dayyear","Sc.Year","Sc.DOY","Sc.totalTime","cloud","Sky.Cov.y","moonrise_c","moonset_c","merid_c","sunset_c","sunrise_c","nightlength","moonlength","rise_set_later","brightnight"
"58",149,2016,"2118","0419179244",340,"149_2016_0419179244",55092,"118","0419179244","04186ED791","Yes","5/24/16",3,FALSE,22201,"Low Tape",50.6,"Ithaca","2016-05-24",145,145,165,"149_2016",16,-1.55198866950245,0.217041106767373,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"59",149,2016,"2118","0419179244",340,"149_2016_0419179244",55092,"118","0419179244","04186ED791","Yes","5/24/16",3,FALSE,22201,"Low Tape",50.6,"Ithaca","2016-05-24",145,145,165,"149_2016",16,-1.55198866950245,0.217041106767373,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"60",149,2016,"2118","0419179244",340,"149_2016_0419179244",55092,"118","0419179244","04186ED791","Yes","5/24/16",3,FALSE,22201,"Low Tape",50.6,"Ithaca","2016-05-24",145,145,165,"149_2016",16,-1.55198866950245,0.217041106767373,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"61",149,2016,"215","04186EA235",290,"149_2016_04186EA235",55290,"15","04186EA235","0419179823","Yes","5/26/16",0,FALSE,22201,"Control",50.6,"Ithaca","2016-05-26",147,147,167,"149_2016",16,-1.55198866950245,0.236634019804484,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"62",149,2016,"215","04186EA235",290,"149_2016_04186EA235",55290,"15","04186EA235","0419179823","Yes","5/26/16",0,FALSE,22201,"Control",50.6,"Ithaca","2016-05-26",147,147,167,"149_2016",16,-1.55198866950245,0.236634019804484,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"63",149,2016,"215","04186EA235",290,"149_2016_04186EA235",55290,"15","04186EA235","0419179823","Yes","5/26/16",0,FALSE,22201,"Control",50.6,"Ithaca","2016-05-26",147,147,167,"149_2016",16,-1.55198866950245,0.236634019804484,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"64",149,2016,"223","0418944A22",320,"149_2016_0418944A22",53850,"23","0418944A22","041917CB1E","Yes","5/27/16",-1,FALSE,22201,"Low Tape",50.6,"Ithaca","2016-05-27",148,148,168,"149_2016",16,-1.55198866950245,0.0941401068073136,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"65",149,2016,"223","0418944A22",320,"149_2016_0418944A22",53850,"23","0418944A22","041917CB1E","Yes","5/27/16",-1,FALSE,22201,"Low Tape",50.6,"Ithaca","2016-05-27",148,148,168,"149_2016",16,-1.55198866950245,0.0941401068073136,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"66",149,2016,"223","0418944A22",320,"149_2016_0418944A22",53850,"23","0418944A22","041917CB1E","Yes","5/27/16",-1,FALSE,22201,"Low Tape",50.6,"Ithaca","2016-05-27",148,148,168,"149_2016",16,-1.55198866950245,0.0941401068073136,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"67",149,2016,"253","041917D3E1",350,"149_2016_041917D3E1",54418,"53","041917D3E1","041917BD1F","Yes","5/27/16",-2,FALSE,22201,"Low Tape",50.6,"Ithaca","2016-05-27",148,148,168,"149_2016",16,-1.55198866950245,0.150346039156197,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
